,fighter_name,Height,Weight,Reach,Stance,DOB,Height_cm,Weight_kg,Gender
56,Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980",175.26,61.23,male
58,Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",177.8,70.31,male
59,Alan Belcher,"6' 2""",185 lbs.,"73""",Orthodox,"Apr 24, 1984",187.96,83.91,male
62,Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",182.88,77.11,male
63,Alan Omer,"5' 10""",145 lbs.,"71""",Orthodox,"Sep 14, 1988",177.8,65.77,male
64,Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",180.34,70.31,male
67,Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",175.26,61.23,male
69,Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",180.34,77.11,male
72,Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",182.88,77.11,male
73,Alberto Uda,"6' 3""",185 lbs.,"77""",Orthodox,"Aug 08, 1984",190.5,83.91,male
75,Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",167.64000000000001,61.23,male
78,Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",193.04,92.99,male
80,Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984",172.72,77.11,male
81,Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",187.96,108.86,male
82,Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",177.8,83.91,male
83,Alessandro Ricci,"5' 11""",155 lbs.,"69""",Orthodox,"Jul 21, 1982",180.34,70.31,male
84,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",182.88,83.91,male
85,Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981",182.88,83.91,male
87,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",177.8,65.77,male
90,Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",172.72,70.31,male
92,Alex Enlund,"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987",177.8,65.77,male
93,Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",175.26,77.11,male
94,Alex Gilpin,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992",170.18,65.77,male
95,Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",187.96,70.31,male
99,Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",172.72,70.31,male
100,Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",180.34,77.11,male
101,Alex Nicholson,"6' 4""",185 lbs.,"81""",Orthodox,"May 02, 1990",193.04,83.91,male
102,Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",180.34,77.11,male
103,Alex Perez,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992",167.64000000000001,61.23,male
104,Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986",180.34,77.11,male
106,Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980",187.96,77.11,male
107,Alex Soto,"5' 8""",135 lbs.,"71""",Southpaw,"Feb 15, 1984",172.72,61.23,male
109,Alex Torres,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1988",177.8,65.77,male
110,Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",182.88,70.31,male
112,Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",165.1,52.16,female
114,Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",195.57999999999998,92.99,male
115,Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",175.26,70.31,male
123,Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",167.64000000000001,65.77,male
124,Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",200.66,113.4,male
125,Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",190.5,70.31,male
126,Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",157.48000000000002,52.16,female
131,Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",165.1,56.7,male
133,Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",167.64000000000001,56.7,female
134,Alexis Dufresne,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990",175.26,61.23,female
136,Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988",172.72,61.23,male
137,Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",162.56,56.7,male
139,Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",193.04,120.2,male
140,Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989",170.18,61.23,male
143,Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992",170.18,70.31,male
145,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",190.5,111.13,male
147,Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",182.88,92.99,male
148,Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986",165.1,56.7,male
149,Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993",187.96,92.99,male
150,Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994",195.57999999999998,120.2,male
153,Alvin Robinson,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982",175.26,70.31,male
155,Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",160.02,52.16,female
156,Amanda Lemos,"5' 4""",135 lbs.,"65""",Southpaw,"May 22, 1987",162.56,61.23,female
157,Amanda Nunes,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988",172.72,65.77,female
165,Amir Sadollah,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 27, 1980",177.8,77.11,male
168,Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",165.1,61.23,male
169,Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975",187.96,83.91,male
171,Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",172.72,61.23,male
172,Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",180.34,65.77,male
180,Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",175.26,61.23,male
182,Andre Winner,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981",180.34,70.31,male
183,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",167.64000000000001,56.7,female
185,Andreas Stahl,"5' 11""",170 lbs.,"73""",Orthodox,"May 20, 1988",180.34,77.11,male
186,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",190.5,108.86,male
189,Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986",185.42,77.11,male
190,Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986",180.34,70.31,male
193,Andrew Sanchez,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988",185.42,83.91,male
194,Andrew Todhunter,"6' 0""",185 lbs.,"72""",Switch,"Nov 30, 1987",182.88,83.91,male
199,Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",190.5,83.91,male
201,Andy Ogle,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989",172.72,65.77,male
207,Angela Hill,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",160.02,52.16,female
212,Anna Elmose,"5' 3""",115 lbs.,"65""",Orthodox,"Oct 06, 1984",160.02,52.16,female
214,Anthony Adams,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 13, 1988",182.88,83.91,male
217,Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986",172.72,61.23,male
218,Anthony Christodoulou,"5' 9""",155 lbs.,"72""",Orthodox,"Jul 30, 1987",175.26,70.31,male
221,Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980",195.57999999999998,117.93,male
222,Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",182.88,83.91,male
223,Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984",187.96,92.99,male
224,Anthony Lapsley,"5' 9""",170 lbs.,"71""",Southpaw,"Feb 13, 1980",175.26,77.11,male
228,Anthony Njokuani,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980",185.42,70.31,male
229,Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",190.5,92.99,male
230,Anthony Pettis,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987",177.8,77.11,male
231,Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",182.88,77.11,male
233,Anthony Smith,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",193.04,92.99,male
237,Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984",172.72,70.31,male
238,Anton Zafir,"5' 11""",170 lbs.,"72""",Orthodox,"May 10, 1987",180.34,77.11,male
239,Antoni Hardonk,"6' 4""",245 lbs.,"78""",Orthodox,"Feb 05, 1976",193.04,111.13,male
240,Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984",172.72,56.7,female
242,Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",165.1,61.23,male
243,Antonio Braga Neto,"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987",190.5,83.91,male
244,Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",187.96,83.91,male
245,Antonio Carvalho,"5' 9""",145 lbs.,"68""",Orthodox,"May 30, 1979",175.26,65.77,male
246,Antonio Dos Santos,"5' 10""",185 lbs.,"72""",Orthodox,"Jul 21, 1988",177.8,83.91,male
250,Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981",190.5,92.99,male
252,Antonio Silva,"6' 4""",264 lbs.,"80""",Orthodox,"Sep 14, 1979",193.04,119.75,male
256,Ariane Lipski,"5' 3""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",160.02,56.7,female
259,Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",185.42,111.13,male
261,Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",170.18,70.31,male
263,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",172.72,65.77,male
268,Artem Lobov,"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986",175.26,65.77,male
273,Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",167.64000000000001,56.7,male
274,Ashlee Evans-Smith,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987",172.72,56.7,female
275,Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987",170.18,52.16,female
276,Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",167.64000000000001,61.23,female
279,Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",167.64000000000001,61.23,male
280,Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984",185.42,77.11,male
281,Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991",190.5,120.2,male
283,Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987",198.12,111.13,male
284,Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",182.88,65.77,male
285,Austin Hubbard,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991",177.8,70.31,male
286,Austin Springer,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987",172.72,65.77,male
287,Austin Tweedy,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 25, 1990",175.26,70.31,male
288,Austin Vanderford,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990",180.34,77.11,male
289,Azamat Gashimov,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 07, 1990",167.64000000000001,56.7,male
291,BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978",175.26,70.31,male
294,Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983",175.26,65.77,male
295,Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",182.88,77.11,male
299,Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991",175.26,61.23,female
300,Bec Rawlings,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989",167.64000000000001,56.7,female
301,Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",180.34,77.11,male
302,Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",180.34,77.11,male
307,Ben Nguyen,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988",165.1,56.7,male
309,Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981",193.04,120.2,male
310,Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,"Apr 13, 1983",187.96,77.11,male
311,Ben Wall,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 25, 1989",177.8,70.31,male
313,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",177.8,70.31,male
314,Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994",177.8,61.23,male
316,Benny Alloway,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 19, 1981",180.34,77.11,male
317,Benson Henderson,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983",175.26,77.11,male
318,Bentley Syler,"5' 4""",125 lbs.,"68""",Orthodox,"Dec 22, 1982",162.56,56.7,male
319,Bernardo Magalhaes,"5' 9""",155 lbs.,"65""",Orthodox,"Apr 08, 1981",175.26,70.31,male
321,Besam Yousef,"5' 11""",170 lbs.,"71""",Orthodox,"Mar 25, 1985",180.34,77.11,male
322,Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",165.1,61.23,female
323,Bevon Lewis,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991",190.5,83.91,male
324,Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987",170.18,61.23,male
326,Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",182.88,65.77,male
330,Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",172.72,70.31,male
335,Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986",180.34,113.4,male
339,Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",182.88,77.11,male
348,Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",177.8,70.31,male
350,Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976",190.5,115.67,male
352,Bobby Moffett,"5' 10""",145 lbs.,"74""",Orthodox,"Jun 01, 1990",177.8,65.77,male
353,Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990",182.88,77.11,male
357,Bobby Voelker,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1979",182.88,77.11,male
358,Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980",180.34,92.99,male
359,Bojan Velickovic,"6' 0""",170 lbs.,"76""",Southpaw,"Dec 18, 1988",182.88,77.11,male
361,Boston Salmon,"5' 9""",135 lbs.,"69""",Southpaw,"Nov 20, 1990",175.26,61.23,male
362,Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",177.8,77.11,male
365,Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991",167.64000000000001,61.23,male
369,Brad Pickett,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978",167.64000000000001,61.23,male
371,Brad Tavares,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",185.42,83.91,male
376,Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",177.8,61.23,male
386,Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",170.18,56.7,male
391,Brandon Thatch,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985",187.96,77.11,male
392,Brandon Vera,"6' 3""",230 lbs.,"76""",Orthodox,"Oct 10, 1977",190.5,104.33,male
393,Brandon Visher,"5' 6""",135 lbs.,"68""",Orthodox,"May 06, 1984",167.64000000000001,61.23,male
397,Brendan Loughnane,"5' 10""",145 lbs.,"70""",Switch,"Dec 05, 1989",177.8,65.77,male
398,Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987",170.18,77.11,male
399,Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983",193.04,111.13,male
406,Brett Johns,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992",170.18,61.23,male
407,Brett Rogers,"6' 5""",265 lbs.,"81""",Orthodox,"Feb 17, 1981",195.57999999999998,120.2,male
409,Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",170.18,61.23,male
410,Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991",187.96,77.11,male
413,Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",182.88,77.11,male
414,Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",175.26,77.11,male
417,Brian Houston,"6' 2""",185 lbs.,"78""",Orthodox,"Apr 26, 1981",187.96,83.91,male
419,Brian Kelleher,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",167.64000000000001,61.23,male
422,Brian Melancon,"5' 8""",170 lbs.,"72""",Orthodox,"May 28, 1982",172.72,77.11,male
423,Brian Ortega,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",172.72,65.77,male
427,Brian Stann,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 24, 1980",185.42,92.99,male
430,Bristol Marunde,"6' 1""",170 lbs.,"71""",Orthodox,"Apr 20, 1982",185.42,77.11,male
431,Brock Jardine,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 10, 1985",180.34,77.11,male
432,Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977",180.34,77.11,male
433,Brock Lesnar,"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",190.5,120.2,male
435,Brok Weaver,"6' 0""",170 lbs.,"73""",Southpaw,"Dec 05, 1991",182.88,77.11,male
441,Bruno Santos,"5' 9""",185 lbs.,"69""",Orthodox,"Jul 17, 1987",175.26,83.91,male
444,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",182.88,77.11,male
445,Bryan Caraway,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984",172.72,61.23,male
455,Bubba Bush,"6' 0""",185 lbs.,"73""",Orthodox,"Jul 24, 1985",182.88,83.91,male
457,Bubba McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983",190.5,83.91,male
461,Byron Bloodworth,"5' 8""",135 lbs.,"69""",Orthodox,"Aug 16, 1983",172.72,61.23,male
462,CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",187.96,83.91,male
464,CJ Hamilton,"5' 7""",125 lbs.,"68""",Switch,"Oct 07, 1986",170.18,56.7,male
467,CM Punk,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 26, 1978",185.42,77.11,male
468,Cain Carrizosa,"5' 8""",155 lbs.,"74""",Orthodox,"Jul 22, 1986",172.72,70.31,male
469,Cain Velasquez,"6' 1""",240 lbs.,"77""",Orthodox,"Jul 28, 1982",185.42,108.86,male
470,Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",185.42,83.91,male
473,Callan Potter,"6' 0""",155 lbs.,"72""",Orthodox,"Jun 09, 1984",182.88,70.31,male
474,Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",180.34,65.77,male
476,Cameron Olson,"6' 1""",205 lbs.,"75""",Orthodox,"Nov 22, 1989",185.42,92.99,male
478,Caol Uno,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",170.18,70.31,male
484,Carlo Pedersoli,"5' 11""",170 lbs.,"75""",Southpaw,"Jun 08, 1993",180.34,77.11,male
485,Carlo Prater,"5' 11""",155 lbs.,"72""",Switch,"Jun 25, 1981",180.34,70.31,male
487,Carlos Candelario,"5' 8""",125 lbs.,"67""",Southpaw,"Jun 04, 1991",172.72,56.7,male
488,Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",187.96,77.11,male
489,Carlos Eduardo Rocha,"5' 10""",170 lbs.,"70""",Orthodox,"Jul 12, 1981",177.8,77.11,male
491,Carlos Huachin,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996",162.56,61.23,male
494,Carls John De Tomas,"5' 5""",125 lbs.,"71""",Southpaw,"Aug 28, 1996",165.1,56.7,male
496,Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",182.88,92.99,male
497,Caros Fodor,"5' 9""",155 lbs.,"76""",Orthodox,"Jan 07, 1984",175.26,70.31,male
500,Casey Kenney,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 20, 1991",170.18,61.23,male
502,Cat Zingano,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982",167.64000000000001,65.77,female
503,Cathal Pendred,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",185.42,77.11,male
507,Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",185.42,83.91,male
510,Chad George,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982",167.64000000000001,61.23,male
511,Chad Griggs,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978",185.42,92.99,male
512,Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",177.8,77.11,male
514,Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",167.64000000000001,65.77,male
520,Chael Sonnen,"6' 1""",205 lbs.,"74""",Southpaw,"Apr 03, 1977",185.42,92.99,male
522,Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",170.18,65.77,male
524,Chance Rencountre,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986",187.96,77.11,male
525,Chanmi Jeon,"5' 5""",115 lbs.,"67""",Orthodox,"Aug 28, 1997",165.1,52.16,female
528,Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983",177.8,83.91,male
529,Charles Jourdain,"5' 9""",155 lbs.,"69""",Switch,"Nov 27, 1995",175.26,70.31,male
530,Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",177.8,83.91,male
532,Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",177.8,70.31,male
533,Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986",175.26,65.77,male
534,Charlie Brenneman,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 09, 1981",177.8,70.31,male
537,Charlie Valencia,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974",160.02,61.23,male
538,Charlie Ward,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 17, 1980",180.34,77.11,male
540,Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",180.34,65.77,male
541,Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985",170.18,61.23,male
544,Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989",193.04,113.4,male
545,Chase Waldon,"6' 1""",185 lbs.,"75""",Orthodox,"Sep 19, 1986",185.42,83.91,male
547,Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982",185.42,77.11,male
